districtid,timeid,cases
KA_Chikkaballapura,1,43797.0
KA_Chikkamagaluru,1,49244.0
KA_Chitradurga,1,36163.0
KA_Dakshina Kannada,1,105534.0
KA_Davanagere,1,50543.0
KA_Dharwad,1,60620.0
KA_Gadag,1,26011.0
KA_Hassan,1,108159.0
KA_Haveri,1,21886.0
KA_Kalaburagi,1,61697.0
KA_Kodagu,1,34217.0
KA_Kolar,1,45970.0
KA_Koppal,1,35122.0
KA_Mandya,1,72612.0
KA_Mysuru,1,174533.0
KA_Raichur,1,39905.0
KA_Ramanagara,1,24056.0
KA_Shivamogga,1,67597.0
KA_Tumakuru,1,118579.0
KA_Udupi,1,71645.0
KA_Uttara Kannada,1,54230.0
KA_Vijayapura,1,36179.0
KA_Yadgir,1,27502.0
KL_Alappuzha,1,240519.0
KL_Ernakulam,1,437452.0
KL_Idukki,1,98133.0
KL_Kannur,1,203055.0
KL_Kasaragod,1,116396.0
KL_Kollam,1,288215.0
KL_Kottayam,1,235115.0
KL_Kozhikode,1,394973.0
KL_Malappuram,1,450082.0
KL_Palakkad,1,274982.0
KL_Pathanamthitta,1,138706.0
KL_Thiruvananthapuram,1,346041.0
KL_Thrissur,1,362333.0
KL_Wayanad,1,85539.0
LA_Kargil,1,3575.0
LA_Leh,1,16870.0
LD_Lakshadweep,1,10285.0
MH_Ahmednagar,1,297491.0
MH_Akola,1,59114.0
MH_Amravati,1,96288.0
MH_Aurangabad,1,154611.0
MH_Beed,1,100935.0
MH_Bhandara,1,60170.0
MH_Buldhana,1,84871.0
MH_Chandrapur,1,88711.0
MH_Dhule,1,46305.0
MH_Gadchiroli,1,30394.0
MH_Gondia,1,40538.0
MH_Hingoli,1,18456.0
MH_Jalgaon,1,140133.0
MH_Jalna,1,60344.0
MH_Kolhapur,1,201508.0
MH_Latur,1,92405.0
MH_Mumbai,1,754721.0
MH_Nagpur,1,493865.0
MH_Nanded,1,90702.0
MH_Nandurbar,1,40196.0
MH_Nashik,1,404026.0
MH_Osmanabad,1,65415.0
MH_Palghar,1,134061.0
MH_Parbhani,1,52286.0
MH_Pune,1,1103268.0
MH_Raigad,1,186255.0
MH_Ratnagiri,1,74116.0
MH_Sangli,1,194302.0
MH_Satara,1,229453.0
MH_Sindhudurg,1,49668.0
MH_Solapur,1,196323.0
MH_Thane,1,597411.0
MH_Wardha,1,59110.0
MH_Washim,1,41680.0
MH_Yavatmal,1,76256.0
ML_East Garo Hills,1,1772.0
ML_East Jaintia Hills,1,2247.0
ML_East Khasi Hills,1,34718.0
ML_North Garo Hills,1,1638.0
ML_Ribhoi,1,8537.0
ML_South Garo Hills,1,1172.0
ML_South West Garo Hills,1,1806.0
ML_South West Khasi Hills,1,2038.0
ML_West Garo Hills,1,8601.0
ML_West Jaintia Hills,1,5735.0
ML_West Khasi Hills,1,3227.0
MN_Churachandpur,1,0.0
MP_Agar Malwa,1,3303.0
MP_Alirajpur,1,3501.0
MP_Anuppur,1,9229.0
MP_Ashoknagar,1,3670.0
MP_Balaghat,1,9093.0
MP_Barwani,1,8363.0
MP_Betul,1,12901.0
MP_Bhind,1,2994.0
MP_Bhopal,1,123334.0
MP_Burhanpur,1,2568.0
MP_Chhatarpur,1,7610.0
MP_Chhindwara,1,6732.0
MP_Damoh,1,8120.0
MP_Datia,1,6958.0
MP_Dewas,1,7724.0
MP_Dhar,1,12533.0
MP_Dindori,1,4643.0
MP_Guna,1,5132.0
MP_Gwalior,1,53096.0
MP_Harda,1,5055.0
MP_Hoshangabad,1,10680.0
MP_Indore,1,153017.0
MP_Jabalpur,1,50645.0
MP_Jhabua,1,7688.0
MP_Katni,1,9366.0
MP_Khandwa,1,4040.0
MP_Khargone,1,13965.0
MP_Mandla,1,5188.0
MP_Mandsaur,1,8638.0
MP_Morena,1,8236.0
MP_Narsinghpur,1,11200.0
MP_Neemuch,1,7924.0
MP_Niwari,1,3712.0
MP_Panna,1,7319.0
MP_Raisen,1,9233.0
MP_Rajgarh,1,8700.0
MP_Ratlam,1,17855.0
MP_Rewa,1,16434.0
MP_Sagar,1,16593.0
MP_Satna,1,11965.0
MP_Sehore,1,10136.0
MP_Seoni,1,6774.0
MP_Shahdol,1,10080.0
MP_Shajapur,1,6349.0
MP_Sheopur,1,4006.0
MP_Shivpuri,1,12393.0
MP_Sidhi,1,9219.0
MP_Singrauli,1,8793.0
MP_Tikamgarh,1,6863.0
MP_Ujjain,1,18896.0
MP_Umaria,1,6293.0
MP_Vidisha,1,11918.0
MZ_Aizawl,1,32741.0
MZ_Champhai,1,790.0
MZ_Hnahthial,1,130.0
MZ_Khawzawl,1,110.0
MZ_Kolasib,1,4043.0
MZ_Lawngtlai,1,2953.0
MZ_Lunglei,1,3618.0
MZ_Mamit,1,1562.0
MZ_Saiha,1,976.0
MZ_Saitual,1,240.0
MZ_Serchhip,1,889.0
NL_Dimapur,1,13489.0
NL_Kiphire,1,234.0
NL_Kohima,1,8827.0
NL_Longleng,1,272.0
NL_Mokokchung,1,2003.0
NL_Mon,1,1126.0
NL_Peren,1,962.0
NL_Phek,1,477.0
NL_Tuensang,1,997.0
NL_Wokha,1,350.0
NL_Zunheboto,1,584.0
OR_Angul,1,43155.0
OR_Balangir,1,23237.0
OR_Balasore,1,38789.0
OR_Bargarh,1,30800.0
OR_Bhadrak,1,25792.0
OR_Boudh,1,12535.0
OR_Cuttack,1,88737.0
OR_Deogarh,1,6225.0
OR_Dhenkanal,1,19285.0
OR_Gajapati,1,9540.0
OR_Ganjam,1,33521.0
OR_Jagatsinghpur,1,26235.0
OR_Jajpur,1,41855.0
OR_Jharsuguda,1,23644.0
OR_Kalahandi,1,24188.0
OR_Kandhamal,1,11412.0
OR_Kendrapara,1,23834.0
OR_Kendujhar,1,20587.0
OR_Khordha,1,155204.0
OR_Koraput,1,18891.0
OR_Malkangiri,1,11545.0
OR_Mayurbhanj,1,39110.0
OR_Nabarangapur,1,23476.0
OR_Nayagarh,1,22928.0
OR_Nuapada,1,22815.0
OR_Puri,1,44097.0
OR_Rayagada,1,19908.0
OR_Sambalpur,1,30667.0
OR_Subarnapur,1,13103.0
OR_Sundargarh,1,60951.0
PB_Amritsar,1,47145.0
PB_Barnala,1,5917.0
PB_Bathinda,1,41634.0
PB_Faridkot,1,13858.0
PB_Fatehgarh Sahib,1,8819.0
PB_Fazilka,1,20195.0
PB_Ferozepur,1,14338.0
PB_Gurdaspur,1,22288.0
PB_Hoshiarpur,1,30687.0
PB_Jalandhar,1,63193.0
PB_Kapurthala,1,17788.0
PB_Ludhiana,1,87461.0
PB_Mansa,1,15579.0
PB_Moga,1,8651.0
PB_Pathankot,1,18641.0
PB_Patiala,1,48761.0
PB_Rupnagar,1,12882.0
PB_S.A.S. Nagar,1,68528.0
PB_Sangrur,1,15702.0
PB_Shahid Bhagat Singh Nagar,1,11449.0
PB_Sri Muktsar Sahib,1,18734.0
PB_Tarn Taran,1,8020.0
PY_Karaikal,1,15191.0
PY_Mahe,1,5048.0
PY_Puducherry,1,95335.0
PY_Yanam,1,6644.0
RJ_Ajmer,1,37720.0
RJ_Alwar,1,59659.0
RJ_Banswara,1,10005.0
RJ_Baran,1,11993.0
RJ_Barmer,1,15550.0
RJ_Bharatpur,1,19591.0
RJ_Bhilwara,1,29773.0
RJ_Bikaner,1,40311.0
RJ_Bundi,1,7967.0
RJ_Chittorgarh,1,19809.0
RJ_Churu,1,16719.0
RJ_Dausa,1,13351.0
RJ_Dholpur,1,11006.0
RJ_Dungarpur,1,18407.0
RJ_Ganganagar,1,19338.0
RJ_Hanumangarh,1,16051.0
RJ_Jaipur,1,187613.0
RJ_Jaisalmer,1,13639.0
RJ_Jalore,1,10065.0
RJ_Jhalawar,1,13600.0
RJ_Jhunjhunu,1,14802.0
RJ_Jodhpur,1,112374.0
RJ_Karauli,1,7156.0
RJ_Kota,1,57051.0
RJ_Nagaur,1,17731.0
RJ_Pali,1,27315.0
RJ_Pratapgarh,1,7143.0
RJ_Rajsamand,1,17041.0
RJ_Sawai Madhopur,1,10605.0
RJ_Sikar,1,30607.0
RJ_Sirohi,1,13729.0
RJ_Tonk,1,9495.0
RJ_Udaipur,1,56372.0
TN_Ariyalur,1,16093.0
TN_Chengalpattu,1,163608.0
TN_Chennai,1,540971.0
TN_Coimbatore,1,232582.0
TN_Cuddalore,1,61434.0
TN_Dharmapuri,1,26512.0
TN_Dindigul,1,32385.0
TN_Erode,1,96140.0
TN_Kallakurichi,1,29654.0
TN_Kancheepuram,1,72304.0
TN_Kanyakumari,1,60563.0
TN_Karur,1,22889.0
TN_Krishnagiri,1,41723.0
TN_Madurai,1,73790.0
TN_Mayiladuthurai,1,21399.0
TN_Nagapattinam,1,39348.0
TN_Namakkal,1,47952.0
TN_Nilgiris,1,31202.0
TN_Perambalur,1,11633.0
TN_Pudukkottai,1,28654.0
TN_Ramanathapuram,1,20128.0
TN_Ranipet,1,42238.0
TN_Salem,1,94728.0
TN_Sivaganga,1,19143.0
TN_Tenkasi,1,27025.0
TN_Thanjavur,1,69299.0
TN_Theni,1,43102.0
TN_Thiruvallur,1,114684.0
TN_Thiruvarur,1,38451.0
TN_Thoothukkudi,1,55363.0
TN_Tiruchirappalli,1,73428.0
TN_Tirunelveli,1,48313.0
TN_Tirupathur,1,28467.0
TN_Tiruppur,1,89034.0
TN_Tiruvannamalai,1,52724.0
TN_Vellore,1,48452.0
TN_Viluppuram,1,44311.0
TN_Virudhunagar,1,45687.0
TR_Dhalai,1,6889.0
TR_Gomati,1,7851.0
TR_Khowai,1,4481.0
TR_North Tripura,1,6938.0
TR_Sipahijala,1,6138.0
TR_South Tripura,1,9809.0
TR_Unokoti,1,8278.0
TR_West Tripura,1,30738.0
UP_Agra,1,25967.0
UP_Aligarh,1,21281.0
UP_Ambedkar Nagar,1,5082.0
UP_Amethi,1,9986.0
UP_Amroha,1,16651.0
UP_Auraiya,1,10088.0
UP_Ayodhya,1,16928.0
UP_Azamgarh,1,18073.0
UP_Baghpat,1,9240.0
UP_Bahraich,1,11600.0
UP_Ballia,1,21709.0
UP_Balrampur,1,7492.0
UP_Banda,1,11004.0
UP_Barabanki,1,19834.0
UP_Bareilly,1,43980.0
UP_Basti,1,11723.0
UP_Bhadohi,1,7770.0
UP_Bijnor,1,14793.0
UP_Budaun,1,14925.0
UP_Bulandshahr,1,20205.0
UP_Chandauli,1,16239.0
UP_Chitrakoot,1,7128.0
UP_Deoria,1,20217.0
UP_Etah,1,9982.0
UP_Etawah,1,13963.0
UP_Farrukhabad,1,10370.0
UP_Fatehpur,1,6888.0
UP_Firozabad,1,8717.0
UP_Gautam Buddha Nagar,1,63282.0
UP_Ghaziabad,1,55654.0
UP_Ghazipur,1,21639.0
UP_Gonda,1,12298.0
UP_Gorakhpur,1,59547.0
UP_Hamirpur,1,5243.0
UP_Hapur,1,12643.0
UP_Hardoi,1,13763.0
UP_Hathras,1,2921.0
UP_Jalaun,1,11665.0
UP_Jaunpur,1,22641.0
UP_Jhansi,1,36583.0
UP_Kannauj,1,9255.0
UP_Kanpur Dehat,1,6260.0
UP_Kanpur Nagar,1,82914.0
UP_Kasganj,1,4275.0
UP_Kaushambi,1,4499.0
UP_Kushinagar,1,15634.0
UP_Lakhimpur Kheri,1,24646.0
UP_Lalitpur,1,12859.0
UP_Lucknow,1,238934.0
UP_Maharajganj,1,12420.0
UP_Mahoba,1,4277.0
UP_Mainpuri,1,10024.0
UP_Mathura,1,20354.0
UP_Mau,1,8354.0
UP_Meerut,1,69606.0
UP_Mirzapur,1,11240.0
UP_Moradabad,1,39440.0
UP_Muzaffarnagar,1,31004.0
UP_Pilibhit,1,11037.0
UP_Pratapgarh,1,16307.0
UP_Prayagraj,1,78617.0
UP_Rae Bareli,1,17082.0
UP_Rampur,1,11842.0
UP_Saharanpur,1,33222.0
UP_Sambhal,1,9548.0
UP_Sant Kabir Nagar,1,8166.0
UP_Shahjahanpur,1,20358.0
UP_Shamli,1,13019.0
UP_Shrawasti,1,4489.0
UP_Siddharthnagar,1,9393.0
UP_Sitapur,1,12458.0
UP_Sonbhadra,1,16972.0
UP_Sultanpur,1,14958.0
UP_Unnao,1,15073.0
UP_Varanasi,1,85488.0
UT_Almora,1,12148.0
UT_Bageshwar,1,5731.0
UT_Chamoli,1,12155.0
UT_Champawat,1,7553.0
UT_Dehradun,1,112120.0
UT_Haridwar,1,51429.0
UT_Nainital,1,39521.0
UT_Pauri Garhwal,1,17588.0
UT_Pithoragarh,1,10170.0
UT_Rudraprayag,1,8772.0
UT_Tehri Garhwal,1,15839.0
UT_Udham Singh Nagar,1,37890.0
UT_Uttarkashi,1,12475.0
WB_Alipurduar,1,15068.0
WB_Bankura,1,34815.0
WB_Birbhum,1,40444.0
WB_Cooch Behar,1,28042.0
WB_Dakshin Dinajpur,1,17007.0
WB_Darjeeling,1,54276.0
WB_Hooghly,1,82276.0
WB_Howrah,1,94985.0
WB_Jalpaiguri,1,40382.0
WB_Jhargram,1,11467.0
WB_Kalimpong,1,6563.0
WB_Kolkata,1,311430.0
WB_Malda,1,32729.0
WB_Murshidabad,1,33652.0
WB_Nadia,1,69784.0
WB_North 24 Parganas,1,320427.0
WB_Paschim Bardhaman,1,56437.0
WB_Paschim Medinipur,1,51227.0
WB_Purba Bardhaman,1,40280.0
WB_Purba Medinipur,1,61010.0
WB_Purulia,1,19214.0
WB_South 24 Parganas,1,96779.0
WB_Uttar Dinajpur,1,19536.0
