districtid,timeid,dose1,dose2
MH_Bhandara,1,466299.0,153751.0
MH_Buldhana,1,658422.0,229351.0
MH_Chandrapur,1,581626.0,169035.0
MH_Dhule,1,534288.0,169102.0
MH_Gadchiroli,1,287000.0,69355.0
MH_Gondia,1,556195.0,144079.0
MH_Hingoli,1,244667.0,58953.0
MH_Jalgaon,1,831795.0,271794.0
MH_Jalna,1,524100.0,157856.0
MH_Kolhapur,1,1281779.0,700029.0
MH_Latur,1,615120.0,203038.0
MH_Mumbai,1,6169741.0,2075554.0
MH_Nagpur,1,1972659.0,698551.0
MH_Nanded,1,676284.0,225318.0
MH_Nandurbar,1,426892.0,108510.0
MH_Nashik,1,1554167.0,548271.0
MH_Osmanabad,1,371522.0,125176.0
MH_Palghar,1,602297.0,216487.0
MH_Parbhani,1,449641.0,147665.0
MH_Pune,1,5097676.0,1772882.0
MH_Raigad,1,752669.0,245866.0
MH_Ratnagiri,1,418962.0,136049.0
MH_Sangli,1,1021917.0,429256.0
MH_Satara,1,1026507.0,440652.0
MH_Sindhudurg,1,291705.0,107470.0
MH_Solapur,1,824586.0,301349.0
MH_Thane,1,2898733.0,1064471.0
MH_Wardha,1,444124.0,143957.0
MH_Washim,1,387960.0,142456.0
MH_Yavatmal,1,670562.0,216553.0
ML_East Khasi Hills,1,287501.0,84505.0
ML_North Garo Hills,1,51584.0,11143.0
ML_Ribhoi,1,79479.0,17162.0
ML_South Garo Hills,1,31406.0,9316.0
ML_South West Garo Hills,1,62659.0,15253.0
ML_South West Khasi Hills,1,30510.0,6384.0
ML_West Garo Hills,1,189614.0,46616.0
ML_West Jaintia Hills,1,76299.0,21453.0
ML_West Khasi Hills,1,67223.0,21964.0
MN_Churachandpur,1,98473.0,23909.0
MN_Imphal East,1,238949.0,60824.0
MN_Imphal West,1,291475.0,69468.0
MN_Jiribam,1,25146.0,3777.0
MN_Kakching,1,76850.0,15197.0
MN_Kamjong,1,9620.0,1689.0
MN_Kangpokpi,1,36150.0,7067.0
MN_Noney,1,16090.0,4369.0
MN_Pherzawl,1,10543.0,3232.0
MN_Senapati,1,25278.0,4958.0
MN_Tamenglong,1,18480.0,4930.0
MN_Tengnoupal,1,23357.0,5073.0
MN_Thoubal,1,137355.0,26902.0
MN_Ukhrul,1,18929.0,5701.0
MP_Anuppur,1,302339.0,43838.0
MP_Ashoknagar,1,333750.0,54473.0
MP_Balaghat,1,680509.0,117674.0
MP_Barwani,1,460501.0,62901.0
MP_Betul,1,670754.0,133950.0
MP_Bhind,1,606743.0,94150.0
MP_Bhopal,1,1620046.0,466679.0
MP_Burhanpur,1,330007.0,81501.0
MP_Chhatarpur,1,640479.0,97115.0
MP_Chhindwara,1,824517.0,155235.0
MP_Damoh,1,525156.0,71381.0
MP_Datia,1,352859.0,56033.0
MP_Dewas,1,683531.0,118989.0
MP_Dhar,1,786773.0,133943.0
MP_Dindori,1,309523.0,44344.0
MP_Guna,1,487928.0,74216.0
MP_Gwalior,1,1027971.0,254217.0
MP_Harda,1,341010.0,55710.0
MP_Hoshangabad,1,532804.0,113248.0
MP_Indore,1,2609433.0,711027.0
MP_Jabalpur,1,1305455.0,341432.0
MP_Jhabua,1,341162.0,51907.0
MP_Katni,1,490699.0,79883.0
MP_Khandwa,1,572203.0,93789.0
MP_Khargone,1,693825.0,111344.0
MP_Mandla,1,378878.0,55832.0
MP_Mandsaur,1,537652.0,90807.0
MP_Morena,1,695887.0,110701.0
MP_Narsinghpur,1,487537.0,87271.0
MP_Neemuch,1,389449.0,80126.0
MP_Panna,1,390820.0,39235.0
MP_Raisen,1,541197.0,81874.0
MP_Rajgarh,1,691364.0,101736.0
MP_Ratlam,1,635463.0,121833.0
MP_Rewa,1,861183.0,168522.0
MP_Sagar,1,1051433.0,230178.0
MP_Satna,1,737747.0,142797.0
MP_Sehore,1,694599.0,133683.0
MP_Seoni,1,546792.0,94796.0
MP_Shahdol,1,508236.0,77403.0
MP_Shajapur,1,415951.0,76695.0
MP_Sheopur,1,197800.0,28011.0
MP_Shivpuri,1,580330.0,80650.0
MP_Sidhi,1,393113.0,47455.0
MP_Singrauli,1,409156.0,58771.0
MP_Tikamgarh,1,545079.0,94769.0
MP_Ujjain,1,1111911.0,267505.0
MP_Umaria,1,249255.0,34650.0
MP_Vidisha,1,572841.0,101467.0
MZ_Kolasib,1,44798.0,14153.0
MZ_Lawngtlai,1,39755.0,10188.0
MZ_Lunglei,1,87150.0,30779.0
MZ_Mamit,1,41954.0,12962.0
MZ_Saiha,1,32974.0,8023.0
MZ_Serchhip,1,40647.0,14893.0
NL_Kohima,1,97323.0,25023.0
NL_Longleng,1,19802.0,6045.0
NL_Mokokchung,1,65213.0,21730.0
NL_Mon,1,64706.0,18142.0
