districtid,timeid,dose1,dose2
BR_Begusarai,1,11778.0,612.0
BR_Begusarai,2,15524.0,7919.0
BR_Begusarai,3,126182.0,10583.0
BR_Begusarai,4,74505.0,29804.0
BR_Begusarai,5,83753.0,1471.0
BR_Begusarai,6,157115.0,17654.0
BR_Begusarai,7,245069.0,44486.0
BR_Bhagalpur,1,15566.0,789.0
BR_Bhagalpur,2,32528.0,9219.0
BR_Bhagalpur,3,124084.0,13289.0
BR_Bhagalpur,4,67606.0,33569.0
BR_Bhagalpur,5,106450.0,4920.0
BR_Bhagalpur,6,276855.0,40463.0
BR_Bhagalpur,7,271060.0,68739.0
BR_Bhojpur,1,10223.0,214.0
BR_Bhojpur,2,9868.0,5875.0
BR_Bhojpur,3,89867.0,6233.0
BR_Bhojpur,4,61985.0,30598.0
BR_Bhojpur,5,67547.0,1738.0
BR_Bhojpur,6,130655.0,14627.0
BR_Bhojpur,7,225935.0,40266.0
BR_Buxar,1,7074.0,100.0
BR_Buxar,2,11072.0,4353.0
BR_Buxar,3,66798.0,5418.0
BR_Buxar,4,37209.0,21219.0
BR_Buxar,5,46989.0,1037.0
BR_Buxar,6,102881.0,11110.0
BR_Buxar,7,140420.0,32555.0
BR_Darbhanga,1,18258.0,857.0
BR_Darbhanga,2,20418.0,11627.0
BR_Darbhanga,3,138473.0,10863.0
BR_Darbhanga,4,109342.0,53065.0
BR_Darbhanga,5,139103.0,3008.0
BR_Darbhanga,6,209236.0,32208.0
BR_Darbhanga,7,342514.0,73986.0
BR_East Champaran,1,20202.0,598.0
BR_East Champaran,2,14859.0,10328.0
BR_East Champaran,3,110500.0,8933.0
BR_East Champaran,4,155015.0,36009.0
BR_East Champaran,5,150425.0,1877.0
BR_East Champaran,6,335076.0,26535.0
BR_East Champaran,7,396507.0,123536.0
BR_Gaya,1,26372.0,506.0
BR_Gaya,2,25086.0,15535.0
BR_Gaya,3,143253.0,17167.0
BR_Gaya,4,73641.0,32514.0
BR_Gaya,5,117100.0,33815.0
BR_Gaya,6,276662.0,49262.0
BR_Gaya,7,293925.0,53629.0
BR_Gopalganj,1,9912.0,275.0
BR_Gopalganj,2,16777.0,6151.0
BR_Gopalganj,3,77202.0,6891.0
BR_Gopalganj,4,58192.0,24848.0
BR_Gopalganj,5,75277.0,2712.0
BR_Gopalganj,6,134143.0,7572.0
BR_Gopalganj,7,164258.0,36093.0
BR_Jamui,1,6865.0,90.0
BR_Jamui,2,14508.0,4281.0
BR_Jamui,3,60576.0,6477.0
BR_Jamui,4,36099.0,16346.0
BR_Jamui,5,48818.0,1440.0
BR_Jamui,6,93398.0,8805.0
BR_Jamui,7,124843.0,22479.0
BR_Jehanabad,1,5988.0,112.0
BR_Jehanabad,2,3804.0,3671.0
BR_Jehanabad,3,40509.0,2839.0
BR_Jehanabad,4,24064.0,8417.0
BR_Jehanabad,5,38002.0,1543.0
BR_Jehanabad,6,64505.0,14239.0
BR_Jehanabad,7,106089.0,22391.0
BR_Kaimur,1,6781.0,33.0
BR_Kaimur,2,7591.0,4019.0
BR_Kaimur,3,55704.0,3417.0
BR_Kaimur,4,33399.0,12466.0
BR_Kaimur,5,45452.0,2025.0
BR_Kaimur,6,76284.0,8542.0
BR_Kaimur,7,118243.0,15238.0
BR_Katihar,1,13644.0,503.0
BR_Katihar,2,13438.0,8495.0
BR_Katihar,3,63593.0,7948.0
BR_Katihar,4,54844.0,21686.0
